Establishment ID,Name,Address,City,Inspection Date,Inspection Type,critical_points,non_critical_points,total_points,max_total_points,compliance_score,letter_grade
39531,LUCY'S KITCHEN,8301 GEORGIA AVENUE,SILVER SPRING,2023-06-21,Food Complaint,110,20,130,130,100,A
24095,SWEET FROG,"100 LEXINGTON DR,",SILVER SPRING,2022-11-02,Monitoring,110,20,130,130,100,A
17118,WASABIZEN JAPANESE CUISINE,18066 GEORGIA AVE.,OLNEY,2023-07-25,Comprehensive,110,20,130,130,100,A
26874,GW SUPERMARKET OF GERMANTOWN INC,19721 FREDERICK RD,GERMANTOWN,2023-07-28,Food Complaint,110,20,130,130,100,A
44496,POPEYES,3410 OLNEY-LAYTONSVILLE RD.,OLNEY,2023-07-25,Comprehensive,110,20,130,130,100,A
33435,DAVE & BUSTER'S,9811 WASHINGTONIAN BLVD,GAITHERSBURG,2023-07-31,Comprehensive,110,20,130,130,100,A
28103,CHIPOTLE MEXICAN GRILL #2130,10116 RIVER RD,POTOMAC,2023-07-27,NA,110,20,130,130,100,A
28328,CAMP SONSHINE INTERNATIONAL,16819 NEW HAMPSHIRE AVE,SILVER SPRING,2023-07-27,Environmental,110,20,130,130,100,A
28103,CHIPOTLE MEXICAN GRILL #2130,10116 RIVER RD,POTOMAC,2023-07-27,Monitoring w/Complaint Investigation,110,20,130,130,100,A
41240,MONTGOMERY COLLEGE-METZ CULINARY MANAGEMENT,7625 FENTON STREET,TAKOMA PARK,2023-07-27,Monitoring,110,20,130,130,100,A
46942,LITTLE BITES CATERING,310 TULIP AVE,TAKOMA PARK,2023-07-26,Monitoring,110,20,130,130,100,A
11243,MCDONALD'S OF ASPEN HILL,13701 CONNECTICUT AVE.,WHEATON,2023-07-27,Food Complaint,110,20,130,130,100,A
28281,EL ENCANTO RESTAURANT,8035 SNOUFFER SCHOOL RD,GAITHERSBURG,2023-11-16,Reinspection,110,20,130,130,100,A
41218,CHOCOLATE MOONSHINE OF MARYLAND,7101 DEMOCRACY BLVD,BETHESDA,2024-01-10,Comprehensive,110,20,130,130,100,A
58286,DMV EMPANADAS,12115-12117 NEBEL ST,ROCKVILLE,2024-01-10,Pre-Opening - Environmental,110,20,130,130,100,A
58259,WOODLIN ELEMENTARY SCHOOL,2101 LUZERNE AVE,SILVER SPRING,2024-01-05,Reinspection,110,20,130,130,100,A
18549,PANSA LLENA,11279-A NEW HAMPSHIRE AVE.,SILVER SPRING,2024-01-05,Monitoring,110,20,130,130,100,A
11491,DOMINO'S PIZZA,274 N. FREDERICK AVE.,GAITHERSBURG,2023-12-07,Comprehensive,110,20,130,130,100,A
835,THOMAS EDISON HIGH SCHOOL OF TECHNOLOGY,12501 DALEWOOD DR.,SILVER SPRING,2023-12-06,Monitoring,110,20,130,130,100,A
33426,KING POLLO,12009 GEORGIA AVE,SILVER SPRING,2023-12-04,Re-inspection Billable,110,20,130,130,100,A
32916,PALISADES LOUNGE,8211 GEORGIA AVE,SILVER SPRING,2024-01-10,Monitoring,110,20,130,130,100,A
41097,ADARASH MARKET IV,13842-B OUTLET DR,SILVER SPRING,2023-12-07,Monitoring,110,20,130,130,100,A
27489,WELLER ROAD ELEMENTARY,3301 WELLER RD,SILVER SPRING,2023-12-06,Comprehensive,110,20,130,130,100,A
26617,LIBERTY GROVE UNITED METHODIST CHURCH,15225 OLD COLUMBIA PIKE,BURTONSVILLE,2023-12-06,Monitoring,110,20,130,130,100,A
344,BRIGGS CHANEY EXXON,3050 BRIGGS CHANEY RD.,SILVER SPRING,2023-12-07,Comprehensive,110,20,130,130,100,A
20873,ADVANCE AUTO PARTS #9005,13625 B GEORGIA AVE.,SILVER SPRING,2023-12-05,Comprehensive,110,20,130,130,100,A
57220,DOLLAR SHOP PLUS,18224 FLOWER HILL WAY,GAITHERSBURG,2023-12-06,Environmental,110,20,130,130,100,A
46987,MY DOLLAR & PLUS,9035 GAITHER RD,GAITHERSBURG,2023-12-04,Environmental,110,20,130,130,100,A
11570,PHO NAM RESTAURANT,15924 SHADY GROVE RD.,GAITHERSBURG,2023-12-04,Monitoring,110,20,130,130,100,A
50300,BENTO SUSHI,7750 WISCONSIN AVE,BETHESDA,2023-12-08,Monitoring,110,20,130,130,100,A
53841,KAT'S KITCHEN & COMPANY,12854 NEW HAMPSHIRE AVE,SILVER SPRING,2023-12-06,Re-inspection Billable,110,20,130,130,100,A
28002,BRIGGS CHANEY DELI,13832 OUTLET DR,SILVER SPRING,2023-12-07,Comprehensive,110,20,130,130,100,A
41238,FIVE BELOW #8046,12012 CHERRY HILL RD,SILVER SPRING,2023-12-05,Comprehensive,110,20,130,130,100,A
39926,ALDI STORE # 181,12012 CHERRY HILL RD,SILVER SPRING,2023-12-05,Comprehensive,110,20,130,130,100,A
51560,DUNKIN DONUTS,2006 VEIRS MILL RD.,ROCKVILLE,2023-07-28,Comprehensive,110,20,130,130,100,A
53921,AUTUMN LAKE HEALTHERCARE AT SILVER SPRING,2501 MUSGROVE RD.,SILVER SPRING,2023-12-07,Monitoring,110,20,130,130,100,A
966,BURTONSVILLE FREESTATE,15411 OLD COLUMBIA PK.,BURTONSVILLE,2023-12-06,Comprehensive,110,20,130,130,100,A
51490,CHIPOTLE MEXICAN GRILL,13801 OUTLET DR,SILVER SPRING,2023-10-10,Comprehensive,110,20,130,130,100,A
30257,PAPA JOHN'S PIZZA #2565,22610 NEW CUT RD,CLARKSBURG,2023-10-13,Comprehensive,110,20,130,130,100,A
28706,7-ELEVEN #37157A,1701 ROCKVILLE PK,ROCKVILLE,2023-07-31,Comprehensive,110,20,130,130,100,A
27491,HERBERT HOOVER MIDDLE SCHOOL,8810 POSTOAK RD,POTOMAC,2024-03-14,Comprehensive,110,20,130,130,100,A
39890,HISSHO SUSHI @ GIANT #0135,3860 INTERNATIONAL DR,SILVER SPRING,2023-07-26,Comprehensive,110,20,130,130,100,A
29776,MEGENANG ETHIOPIAN MARKET,4301 RANDOLPH RD,SILVER SPRING,2023-07-31,Comprehensive,110,20,130,130,100,A
20257,DUNKIN DONUTS #347108,13424 NEW HAMPSHIRE AVE,SILVER SPRING,2023-07-28,Plans Approved,110,20,130,130,100,A
26571,"EL GAUCHO MEATS & FISH, INC",4301 RANDOLPH RD,SILVER SPRING,2023-07-31,Comprehensive,110,20,130,130,100,A
1056,GIANT FOOD #0135,3860 INTERNATIONAL DR.,SILVER SPRING,2023-07-26,Complaint Invest w/Comprehensive,110,20,130,130,100,A
43368,ANGELO'S PIZZA PASTA & DELI,4011-A NORBECK RD,ROCKVILLE,2023-07-25,Comprehensive,110,20,130,130,100,A
21015,MIKE AND BARRY'S DELI,12510 PROSPERITY DR.,SILVER SPRING,2023-10-11,Monitoring,110,20,130,130,100,A
23589,YEKTA KABOBI RESTAURANT,1488-A ROCKVILLE PIKE,ROCKVILLE,2023-10-12,Reinspection,110,20,130,130,100,A
20622,PANERA BREAD #3767,285 KENTLANDS BLVD.,GAITHERSBURG,2023-10-10,Comprehensive,110,20,130,130,100,A
39726,WINDRIDGE VINEYARDS,15700 DARNESTOWN ROAD,DARNESTOWN,2024-03-13,Comprehensive,110,20,130,130,100,A
46922,HAMMER & STAIN,107 B GIBBS STREET,ROCKVILLE,2023-09-14,Visit/No Action,110,20,130,130,100,A
38345,QUICKWAY HIBACHI,10159 NEW HAMPSHIRE AVE,SILVER SPRING,2023-09-13,Reinspection,110,20,130,130,100,A
29305,AMINA THAI RESTAURANT,8624 COLESVILLE RD,SILVER SPRING,2023-09-12,Monitoring,110,20,130,130,100,A
27954,MY DOLLAR & MORE,250 N FREDERICK AVE,GAITHERSBURG,2023-12-07,Environmental,110,20,130,130,100,A
1768,NORDSTROM CAFE,7111 DEMOCRACY BLVD.,BETHESDA,2023-10-13,Food Complaint,110,20,130,130,100,A
788,DR. CHARLES R. DREW ELEMENTARY,1200 SWINGINGDALE DR.,SILVER SPRING,2023-10-13,Comprehensive,110,20,130,130,100,A
38425,DOG HAUS,644 CENTER POINT WAY,GAITHERSBURG,2023-10-11,Reinspection,110,20,130,130,100,A
28854,SUBWAY #22104,45 RANDOLPH RD,SILVER SPRING,2023-09-14,Monitoring,110,20,130,130,100,A
41128,& PIZZA,8455 FENTON ST.,SILVER SPRING,2023-09-11,Monitoring,110,20,130,130,100,A
1059,GIANT FOOD #0192,18250 FLOWER HILL WAY,GAITHERSBURG,2023-08-01,Monitoring w/Complaint Investigation,110,20,130,130,100,A
39693,PIZZA HUT #36885,13318 NEW HAMPSHIRE AVE,SILVER SPRING,2023-12-06,Monitoring w/Complaint Investigation,110,20,130,130,100,A
53853,REN LLC,7845 AIRPARK RD,GAITHERSBURG,2023-07-21,Pre-Opening - Environmental,110,20,130,130,100,A
22670,CVS/PHARMACY #3517,825 WAYNE AVE.,SILVER SPRING,2023-09-12,Reinspection,110,20,130,130,100,A
2680,WING WAH CARRYOUT,41 RANDOLPH RD.,SILVER SPRING,2023-09-14,Monitoring,110,20,130,130,100,A
41065,MCDONALD'S,8407 COLESVILLE RD,SILVER SPRING,2023-08-01,Complaint Invest w/Comprehensive,110,20,130,130,100,A
35577,DISTRICT TACO,1310 EAST WEST HWY,SILVER SPRING,2023-07-31,Comprehensive,110,20,130,130,100,A
32946,FISH TACO,7251 WOODMONT AVE,BETHESDA,2023-08-02,Complaint Invest w/Comprehensive,110,20,130,130,100,A
36841,SPRINKLES,10148 RIVER RD.,POTOMAC,2023-09-13,Re-inspection Billable,110,20,130,130,100,A
27461,WALGREENS #15117,430 HUNGERFORD DR,ROCKVILLE,2023-09-14,Comprehensive,110,20,130,130,100,A
33015,PJ'S COFFEE OF NEW ORLEANS,"8621 GEORGIA AVE , STE A-2",SILVER SPRING,2023-09-11,Monitoring,110,20,130,130,100,A
53953,RED RIBBON BAKESHOP,2501 UNIVERSITY BLVD W,SILVER SPRING,2023-09-12,Pre-Opening - Environmental,110,20,130,130,100,A
52591,SWEET AND NATURAL,"11910 PARKLAWN DR, STE O",ROCKVILLE,2023-09-14,Comprehensive,110,20,130,130,100,A
599,COLESVILLE BEER & WINE,13468 NEW HAMPSHIRE AVE.,SILVER SPRING,2023-09-14,Environmental,110,20,130,130,100,A
260,BETHESDA COUNTRY CLUB,7601 BRADLEY BLVD.,BETHESDA,2023-09-13,Pre-Opening - Environmental,110,20,130,130,100,A
18757,CREPES A GO GO,514 MAIN ST.,GAITHERSBURG,2023-10-09,Comprehensive,110,20,130,130,100,A
33286,CIELO ROJO,7056 CARROLL AVE,TAKOMA PARK,2023-09-12,Monitoring,110,20,130,130,100,A
22658,MOUNT JEZREEL BAPTIST CHURCH,420 UNIVERSITY BLVD. E,SILVER SPRING,2023-09-13,Comprehensive,110,20,130,130,100,A
29204,BULLIS SCHOOL DISCOVERY CENTER CAFETERIA,10601 FALLS RD,POTOMAC,2023-09-13,Monitoring,110,20,130,130,100,A
