UNITID_P,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,MURD18,NEG_M18,RAPE18,FONDL18,INCES18,STATR18,ROBBE18,AGG_A18,BURGLA18,VEHIC18,ARSON18,MURD19,NEG_M19,RAPE19,FONDL19,INCES19,STATR19,ROBBE19,AGG_A19,BURGLA19,VEHIC19,ARSON19,MURD20,NEG_M20,RAPE20,FONDL20,INCES20,STATR20,ROBBE20,AGG_A20,BURGLA20,VEHIC20,ARSON20,FILTER18,FILTER19,FILTER20
174066001,University of Minnesota-Twin Cities,Main Campus,100 CHURCH STREET SE,MINNEAPOLIS,MN,554550213,1,"Public, 4-year or above",23600,28417,52017,0,1,26,22,0,0,5,6,48,11,0,0,0,27,23,0,0,4,8,54,29,2,0,0,20,12,0,0,2,6,21,25,4,1,1,1
174066003,University of Minnesota-Twin Cities,Saint Paul,100 Church Street S.E.,Minneapolis,MN,55455,1,"Public, 4-year or above",23600,28417,52017,0,0,0,1,0,0,0,1,6,1,0,0,0,3,3,0,0,0,0,3,4,0,0,0,1,0,0,0,0,0,2,0,0,1,1,1
186380001,Rutgers University-New Brunswick,Main Campus,83 SOMERSET ST,NEW BRUNSWICK,NJ,089011281,1,"Public, 4-year or above",23167,27244,50411,0,0,15,6,0,0,1,3,8,2,1,0,0,25,12,0,0,3,12,31,0,0,0,0,4,8,0,0,4,8,17,2,0,1,1,1
186380003,Rutgers University-New Brunswick,Rutgers at Atlantic Cape Community,5100 Black Horse Pike,Mays Landing,NJ,08330,1,"Public, 4-year or above",23167,27244,50411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
186380004,Rutgers University-New Brunswick,Rutgers at Brookdale Community College,3680 Route 9 South,Freehold,NJ,07728,1,"Public, 4-year or above",23167,27244,50411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
186380005,Rutgers University-New Brunswick,Rutgers at Mercer County Community College,1200 Old Trenton Road FA 129,West Windsor,NJ,08550,1,"Public, 4-year or above",23167,27244,50411,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
186380006,Rutgers University-New Brunswick,Rutgers at County College of Morris,214 Center Grove Road,Randolph,NJ,07869,1,"Public, 4-year or above",23167,27244,50411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
186380007,Rutgers University-New Brunswick,Rutgers at Raritan Valley Community College,Rotue 28 & Lamington Road,North Branch,NJ,08876,1,"Public, 4-year or above",23167,27244,50411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
186380008,Rutgers University-New Brunswick,Rutgers at Brookdale Community College Lincroft Campus,765 Newman Springs Road,Lincroft,NJ,07738,1,"Public, 4-year or above",23167,27244,50411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
186380009,Rutgers University-New Brunswick,Rutgers Agricultural Research and Extension Center,121 Northville Road,Bridgeton,NJ,08302,1,"Public, 4-year or above",23167,27244,50411,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
186380010,Rutgers University-New Brunswick,Clifford E. & Melda C. Snyder Research and Extension Farm,140 Locust Grove Road,Pittstown,NJ,08867,1,"Public, 4-year or above",23167,27244,50411,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
186380011,Rutgers University-New Brunswick,Lindley G. Cook 4-H Youth Center for Outdoor Education,100 Struble Road,Branchville,NJ,07826,1,"Public, 4-year or above",23167,27244,50411,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
186380012,Rutgers University-New Brunswick,Haskin Shellfish Research Laboratory (HSRL),6959 Miller Avenue,Port Norris,NJ,08349,1,"Public, 4-year or above",23167,27244,50411,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
186380013,Rutgers University-New Brunswick,Philip E. Marucci Center for Blueberry & Cranberry Research ,125 Lake Oswego,Chatsworth,NJ,08019,1,"Public, 4-year or above",23167,27244,50411,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
186380014,Rutgers University-New Brunswick,Rutgers University Pinelands Field Station,501 Four Mile Road,New Lisbon,NJ,08064,1,"Public, 4-year or above",23167,27244,50411,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
186380015,Rutgers University-New Brunswick,Rutgers University Marine Field Station (RUMFS),800 Great Bay Boulevard,Tuckerton,NJ,08087,1,"Public, 4-year or above",23167,27244,50411,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
186380016,Rutgers University-New Brunswick,Hutcheson Memorial Forest,2150 Amwell Road,Franklin ,NJ,08873,1,"Public, 4-year or above",23167,27244,50411,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
186380017,Rutgers University-New Brunswick,Rutgers EcoComplex ,1200 Florence Columbus Road,Bordentown,NJ,08901,1,"Public, 4-year or above",23167,27244,50411,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
186380018,Rutgers University-New Brunswick,Rutgers Fruit and Ornamental Research Extension Center,283 Route 539,Cream Ridge,NJ,085149634,1,"Public, 4-year or above",23167,27244,50411,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
186380019,Rutgers University-New Brunswick,Rutgers Plant Science Research and Extension Farm in Adelphia,549 Halls Mills Road,Freehold,NJ,07728,1,"Public, 4-year or above",23167,27244,50411,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
204796001,Ohio State University-Main Campus,Main Campus,190 N. OVAL MALL,COLUMBUS,OH,43210,1,"Public, 4-year or above",29768,31601,61369,0,0,123,1040,0,0,4,7,95,11,6,1,0,215,1251,0,0,5,23,71,11,7,0,0,179,531,0,0,4,9,36,9,2,1,1,1
236948001,University of Washington-Seattle Campus,Main Campus,NONE,SEATTLE,WA,981954550,1,"Public, 4-year or above",21464,26685,48149,0,0,34,16,0,0,6,5,52,3,0,0,0,17,15,0,0,4,4,97,7,0,0,0,17,5,1,0,5,5,125,20,0,1,1,1
240444001,University of Wisconsin-Madison,Main Campus,500 LINCOLN DR,MADISON,WI,53706,1,"Public, 4-year or above",21359,23281,44640,0,0,13,13,0,0,3,11,43,1,1,0,0,11,9,0,0,4,6,67,2,0,0,0,9,7,0,0,0,8,27,4,2,1,1,1
240444002,University of Wisconsin-Madison,School of Social Work Prorgram at UW-Eau Claire,239 Water Street,Eau Claire,WI,54703,1,"Public, 4-year or above",21359,23281,44640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
243780001,Purdue University-Main Campus,Main Campus,610 Purdue Mall,WEST LAFAYETTE,IN,479071076,1,"Public, 4-year or above",26714,19941,46655,0,0,16,14,0,0,0,2,7,1,2,0,0,17,5,0,0,3,1,22,5,0,0,0,7,1,0,0,0,3,17,9,5,1,1,1
243780002,Purdue University-Main Campus,Anderson Campus,1920 Purdue Parkway,Anderson,IN,46016,1,"Public, 4-year or above",26714,19941,46655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
243780003,Purdue University-Main Campus,Richmond Campus,814 East Main Street,Richmond,IN,47374,1,"Public, 4-year or above",26714,19941,46655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
243780004,Purdue University-Main Campus,New Albany Campus,3000 Technology Ave.,New Albany,IN,47150,1,"Public, 4-year or above",26714,19941,46655,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
243780005,Purdue University-Main Campus,South Bend Campus,"635 South Lafayette Boulevard , Suite 128",South Bend,IN,46601,1,"Public, 4-year or above",26714,19941,46655,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
243780006,Purdue University-Main Campus,Vincennes Campus,1002 North First St.,Vincennes,IN,47591,1,"Public, 4-year or above",26714,19941,46655,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1
243780007,Purdue University-Main Campus,Kokomo Campus,700 East Firmin Street,Kokomo,IN,46902,1,"Public, 4-year or above",26714,19941,46655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
243780008,Purdue University-Main Campus,Indianapolis Campus,2175 S. Hoffman Rd.,Indianapolis,IN,462413650,1,"Public, 4-year or above",26714,19941,46655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
243780009,Purdue University-Main Campus,Lafayette Campus,5500 State Road 38 East,Lafayette,IN,47903,1,"Public, 4-year or above",26714,19941,46655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
243780010,Purdue University-Main Campus,Columbus Campus,4444 Kelly St.,Columbus,IN,47203,1,"Public, 4-year or above",26714,19941,46655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
495767001,The Pennsylvania State University,University Park Campus Penn State,201 OLD MAIN,UNIVERSITY PARK,PA,168021589,1,"Public, 4-year or above",47923,41893,89816,,,,,,,,,,,,,,,,,,,,,,,0,0,28,13,0,0,0,7,11,2,3,0,0,1
495767002,The Pennsylvania State University,Dickinson Campus Penn State,150 SOUTH COLLEGE ST,CARLISLE,PA,170132899,1,"Public, 4-year or above",47923,41893,89816,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
495767003,The Pennsylvania State University,Behrend College Penn State,4701 College Drive,ERIE,PA,16563,1,"Public, 4-year or above",47923,41893,89816,,,,,,,,,,,,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2,0,0,0,1,1
495767004,The Pennsylvania State University,Great Valley Campus Penn State,30 E SWEDESFORD RD,MALVERN,PA,19355,1,"Public, 4-year or above",47923,41893,89816,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
495767005,The Pennsylvania State University,Pennsylvania State University - Navy Yard,4960 South 12th Street,Philadelphia,PA,19112,1,"Public, 4-year or above",47923,41893,89816,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
495767006,The Pennsylvania State University,Hershey Penn State College of Medicine,700 HMC Crescent Road,HERSHEY,PA,170332390,1,"Public, 4-year or above",47923,41893,89816,,,,,,,,,,,,0,0,0,5,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
495767007,The Pennsylvania State University,New Kensington Campus Penn State,3550 7TH STREET ROAD ,New Kensington,PA,15068,1,"Public, 4-year or above",47923,41893,89816,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
495767008,The Pennsylvania State University,Shenango Campus Penn State,147 SHENANGO AVE,SHARON,PA,161461537,1,"Public, 4-year or above",47923,41893,89816,,,,,,,,,,,,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
495767009,The Pennsylvania State University,Wilkes Barre Campus Penn State,44 University Drive,Dallas,PA,18612,1,"Public, 4-year or above",47923,41893,89816,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
495767010,The Pennsylvania State University,Scranton Campus Penn State,120 RIDGE VIEW DR,DUNMORE,PA,185121602,1,"Public, 4-year or above",47923,41893,89816,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
495767011,The Pennsylvania State University,Lehigh Valley Campus Penn State,2809 Saucon Valley Road,Center Valley,PA,180348447,1,"Public, 4-year or above",47923,41893,89816,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
495767012,The Pennsylvania State University,Altoona Campus Penn State,3000 IVYSIDE PK,ALTOONA,PA,16601,1,"Public, 4-year or above",47923,41893,89816,,,,,,,,,,,,0,0,2,0,0,0,0,1,3,0,0,0,0,1,2,0,0,0,0,1,0,0,0,1,1
495767013,The Pennsylvania State University,Beaver Campus Penn State,100 UNIVERSITY DR,MONACA,PA,15061,1,"Public, 4-year or above",47923,41893,89816,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1
495767014,The Pennsylvania State University,Berks Campus Penn State,P.O. Box 7009 TULPEHOCKEN RD,READING,PA,196106009,1,"Public, 4-year or above",47923,41893,89816,,,,,,,,,,,,0,0,1,1,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1
495767015,The Pennsylvania State University,Harrisburg Campus Penn State,777 W HARRISBURG PKE,MIDDLETOWN,PA,170574898,1,"Public, 4-year or above",47923,41893,89816,,,,,,,,,,,,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,1
495767016,The Pennsylvania State University,Brandywine Campus Penn State,25 YEARSLEY MILL RD,MEDIA,PA,19063,1,"Public, 4-year or above",47923,41893,89816,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1
495767017,The Pennsylvania State University,DuBois Campus Penn State,ONE COLLEGE PLACE,DU BOIS,PA,158012549,1,"Public, 4-year or above",47923,41893,89816,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
495767018,The Pennsylvania State University,Fayette Campus Penn State,2201 University Drive,Lemont Furnace,PA,15456,1,"Public, 4-year or above",47923,41893,89816,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
495767019,The Pennsylvania State University,Hazleton Campus Penn State,76 University Drive,HAZLETON,PA,18202,1,"Public, 4-year or above",47923,41893,89816,,,,,,,,,,,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
495767021,The Pennsylvania State University,Penn State Greater Allegheny,4000 UNIVERSITY DR,MCKEESPORT,PA,151327698,1,"Public, 4-year or above",47923,41893,89816,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
495767022,The Pennsylvania State University,Mont Alto Campus Penn State,One CAMPUS DR,MONT ALTO,PA,172379703,1,"Public, 4-year or above",47923,41893,89816,,,,,,,,,,,,0,0,1,2,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1
495767023,The Pennsylvania State University,Abington Campus Penn State,1600 WOODLAND RD,ABINGTON,PA,190013918,1,"Public, 4-year or above",47923,41893,89816,,,,,,,,,,,,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1
495767024,The Pennsylvania State University,Schuylkill Campus Penn State,200 UNIVERSITY DR,SCHUYLKILL HAVEN,PA,179722208,1,"Public, 4-year or above",47923,41893,89816,,,,,,,,,,,,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
495767025,The Pennsylvania State University,York Campus Penn State,1031 EDGECOMB AVE,YORK,PA,17403,1,"Public, 4-year or above",47923,41893,89816,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
