UNITID_P,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,MURD18,NEG_M18,RAPE18,FONDL18,INCES18,STATR18,ROBBE18,AGG_A18,BURGLA18,VEHIC18,ARSON18,MURD19,NEG_M19,RAPE19,FONDL19,INCES19,STATR19,ROBBE19,AGG_A19,BURGLA19,VEHIC19,ARSON19,MURD20,NEG_M20,RAPE20,FONDL20,INCES20,STATR20,ROBBE20,AGG_A20,BURGLA20,VEHIC20,ARSON20,FILTER18,FILTER19,FILTER20
145637001,University of Illinois Urbana-Champaign,Main Campus,601 E John Street,Champaign,IL,61820,1,"Public, 4-year or above",28685,23994,52679,0,0,30,17,0,0,2,3,9,2,3,0,0,19,9,0,2,2,6,16,2,5,0,0,15,5,0,0,5,2,9,4,5,1,1,1
145637003,University of Illinois Urbana-Champaign,Illini Center,200 S. Wacker Dr.,Chicago,IL,60606,1,"Public, 4-year or above",28685,23994,52679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
163286001,University of Maryland-College Park,Main Campus,US Route 1,COLLEGE PARK,MD,20742,1,"Public, 4-year or above",20991,19718,40709,0,0,28,15,0,0,1,5,5,25,2,0,0,23,7,0,0,4,5,22,57,6,0,0,13,0,0,0,0,0,16,26,0,1,1,1
163286002,University of Maryland-College Park,The Universities at Shady Grove,9636 Gudelsky Drive,Rockville,MD,20850,1,"Public, 4-year or above",20991,19718,40709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
170976001,University of Michigan-Ann Arbor,Ann Arbor campus,503 Thompson St,ANN ARBOR,MI,48109,1,"Public, 4-year or above",23820,24087,47907,0,0,43,30,0,0,3,19,15,7,4,0,0,19,25,0,0,1,9,6,7,4,0,0,1212,947,0,0,3,5,11,8,1,1,1,1
171100001,Michigan State University,Main Campus,"Hannah Administration Bldg., 426 Auditorium Road, Room 450",EAST LANSING,MI,488241042,1,"Public, 4-year or above",23550,26145,49695,0,0,43,16,0,0,2,23,48,47,0,0,0,29,82,0,0,0,9,63,35,0,0,0,13,3,0,1,0,7,19,21,0,1,1,1
171100002,Michigan State University,MSU College of Human Medicine -- Grand Rapids,15 Michigan Street NE,Grand Rapids,MI,49503,1,"Public, 4-year or above",23550,26145,49695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
171100003,Michigan State University,MSU Eli Broad Graduate School of Management -- Troy,811 West Square Lake Road,Troy,MI,48098,1,"Public, 4-year or above",23550,26145,49695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
171100005,Michigan State University,College of Osteopathic Medicine - Macomb,44575 Garfield Rd.,Clinton Township,MI,480381139,1,"Public, 4-year or above",23550,26145,49695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
171100006,Michigan State University,College of Osteopathic Medicine - Detroit,4707 St. Antoine,Detroit,MI,48201,1,"Public, 4-year or above",23550,26145,49695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
