UNITID_P,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,MURD17,NEG_M17,RAPE17,FONDL17,INCES17,STATR17,ROBBE17,AGG_A17,BURGLA17,VEHIC17,ARSON17,MURD18,NEG_M18,RAPE18,FONDL18,INCES18,STATR18,ROBBE18,AGG_A18,BURGLA18,VEHIC18,ARSON18,MURD19,NEG_M19,RAPE19,FONDL19,INCES19,STATR19,ROBBE19,AGG_A19,BURGLA19,VEHIC19,ARSON19,FILTER17,FILTER18,FILTER19
186380009,Rutgers University-New Brunswick,Rutgers Agricultural Research and Extension Center,121 Northville Road,Bridgeton,NJ,08302,1,"Public, 4-year or above",23366,26807,50173,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1
186380010,Rutgers University-New Brunswick,Clifford E. & Melda C. Snyder Research and Extension Farm,140 Locust Grove Road,Pittstown,NJ,08867,1,"Public, 4-year or above",23366,26807,50173,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1
186380011,Rutgers University-New Brunswick,Lindley G. Cook 4-H Youth Center for Outdoor Education,100 Struble Road,Branchville,NJ,07826,1,"Public, 4-year or above",23366,26807,50173,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1
186380012,Rutgers University-New Brunswick,Haskin Shellfish Research Laboratory (HSRL),6959 Miller Avenue,Port Norris,NJ,08349,1,"Public, 4-year or above",23366,26807,50173,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1
186380013,Rutgers University-New Brunswick,Philip E. Marucci Center for Blueberry & Cranberry Research ,125 Lake Oswego,Chatsworth,NJ,08019,1,"Public, 4-year or above",23366,26807,50173,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1
186380014,Rutgers University-New Brunswick,Rutgers University Pinelands Field Station,501 Four Mile Road,New Lisbon,NJ,08064,1,"Public, 4-year or above",23366,26807,50173,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1
186380015,Rutgers University-New Brunswick,Rutgers University Marine Field Station (RUMFS),800 Great Bay Boulevard,Tuckerton,NJ,08087,1,"Public, 4-year or above",23366,26807,50173,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1
186380016,Rutgers University-New Brunswick,Franklin ,2150 Amwell Road,Franklin ,NJ,08873,1,"Public, 4-year or above",23366,26807,50173,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1
186380017,Rutgers University-New Brunswick,Rutgers EcoComplex ,1200 Florence Columbus Road,Bordentown,NJ,08901,1,"Public, 4-year or above",23366,26807,50173,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1
186380018,Rutgers University-New Brunswick,Rutgers Fruit and Ornamental Research Extension Center,283 Route 539,Cream Ridge,NJ,085149634,1,"Public, 4-year or above",23366,26807,50173,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1
186380019,Rutgers University-New Brunswick,Rutgers Plant Science Research and Extension Farm in Adelphia,549 Halls Mills Road,Freehold,NJ,07728,1,"Public, 4-year or above",23366,26807,50173,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1
204796001,Ohio State University-Main Campus,Main Campus,190 N. OVAL MALL,COLUMBUS,OH,43210,1,"Public, 4-year or above",30281,31110,61391,0,0,72,30,0,0,7,8,49,6,3,0,0,123,1040,0,0,4,7,95,11,6,1,0,215,1252,0,0,5,23,71,11,7,1,1,1
214777001,Pennsylvania State University-Main Campus,University Park Campus,201 OLD MAIN,UNIVERSITY PARK,PA,168021589,1,"Public, 4-year or above",49122,42305,91427,0,0,37,20,0,0,2,12,36,3,7,0,0,49,27,0,1,3,4,25,3,2,0,0,41,24,0,0,4,12,26,0,4,1,1,1
236948001,University of Washington-Seattle Campus,Main Campus,NONE,SEATTLE,WA,981954550,1,"Public, 4-year or above",21664,25912,47576,0,0,14,3,0,0,5,2,41,9,0,0,0,34,16,0,0,6,5,52,3,0,0,0,17,15,0,0,4,4,97,7,0,1,1,1
240444001,University of Wisconsin-Madison,Main Campus,500 LINCOLN DR,MADISON,WI,53706,1,"Public, 4-year or above",21314,22943,44257,0,0,13,11,0,0,1,6,46,1,1,0,0,13,13,0,0,3,11,43,1,1,0,0,11,9,0,0,4,6,67,2,0,1,1,1
240444002,University of Wisconsin-Madison,School of Social Work Prorgram at UW-Eau Claire,239 Water Street,Eau Claire,WI,54703,1,"Public, 4-year or above",21314,22943,44257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
243780001,Purdue University-Main Campus,Main Campus,610 Purdue Mall,WEST LAFAYETTE,IN,479071076,1,"Public, 4-year or above",25977,19523,45500,0,0,18,15,0,0,1,5,9,11,2,0,0,16,14,0,0,0,2,7,1,2,0,0,17,5,0,0,3,1,22,5,0,1,1,1
243780002,Purdue University-Main Campus,Anderson Campus,1920 Purdue Parkway,Anderson,IN,46016,1,"Public, 4-year or above",25977,19523,45500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
243780003,Purdue University-Main Campus,Richmond Campus,2325 Chester Boulevard,Richmond,IN,47374,1,"Public, 4-year or above",25977,19523,45500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
243780004,Purdue University-Main Campus,New Albany Campus,3000 Technology Ave.,New Albany,IN,47150,1,"Public, 4-year or above",25977,19523,45500,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1
243780005,Purdue University-Main Campus,South Bend Campus,1733 Northside Boulevard,South Bend,IN,466347111,1,"Public, 4-year or above",25977,19523,45500,0,0,2,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1
243780006,Purdue University-Main Campus,Vincennes Campus,1002 North First St.,Vincennes,IN,47591,1,"Public, 4-year or above",25977,19523,45500,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
243780007,Purdue University-Main Campus,Kokomo Campus,2300 S. Washington St.,Kokomo,IN,469049003,1,"Public, 4-year or above",25977,19523,45500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
243780008,Purdue University-Main Campus,Indianapolis Campus,2175 S. Hoffman Rd.,Indianapolis,IN,462413650,1,"Public, 4-year or above",25977,19523,45500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
243780009,Purdue University-Main Campus,Lafayette Campus,5500 State Road 38 East,Lafayette,IN,47903,1,"Public, 4-year or above",25977,19523,45500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
243780010,Purdue University-Main Campus,Columbus Campus,4444 Kelly St.,Columbus,IN,47203,1,"Public, 4-year or above",25977,19523,45500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
