UNITID_P,INSTNM,OPEID,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,MURD20,NEG_M20,RAPE20,FONDL20,INCES20,STATR20,ROBBE20,AGG_A20,BURGLA20,VEHIC20,ARSON20,MURD21,NEG_M21,RAPE21,FONDL21,INCES21,STATR21,ROBBE21,AGG_A21,BURGLA21,VEHIC21,ARSON21,MURD22,NEG_M22,RAPE22,FONDL22,INCES22,STATR22,ROBBE22,AGG_A22,BURGLA22,VEHIC22,ARSON22,FILTER20,FILTER21,FILTER22
171100006,Michigan State University,00229000  ,College of Osteopathic Medicine - Detroit,4707 St. Antoine,Detroit,MI,48201,1,"Public, 4-year or above",23541,26482,50023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
174066001,University of Minnesota-Twin Cities,00396900  ,Main Campus,100 CHURCH STREET SE,MINNEAPOLIS,MN,554550213,1,"Public, 4-year or above",24390,30565,54955,0,0,20,12,0,0,2,6,21,25,4,0,0,40,10,1,0,4,3,24,30,3,0,0,28,26,0,0,5,12,25,45,1,1,1,1
174066003,University of Minnesota-Twin Cities,00396900  ,Saint Paul,100 Church Street S.E.,Minneapolis,MN,55455,1,"Public, 4-year or above",24390,30565,54955,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,3,7,0,1,1,1
186380001,Rutgers University-New Brunswick,00262900  ,Main Campus,83 SOMERSET ST,NEW BRUNSWICK,NJ,089011281,1,"Public, 4-year or above",23354,27283,50637,0,0,4,8,0,0,4,8,17,2,0,0,0,17,9,0,0,3,10,36,3,1,0,0,16,17,0,0,7,9,15,6,0,1,1,1
186380003,Rutgers University-New Brunswick,00262900  ,Rutgers at Atlantic Cape Community,5100 Black Horse Pike,Mays Landing,NJ,08330,1,"Public, 4-year or above",23354,27283,50637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
186380004,Rutgers University-New Brunswick,00262900  ,Rutgers at Brookdale Community College,3680 Route 9 South,Freehold,NJ,07728,1,"Public, 4-year or above",23354,27283,50637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
186380005,Rutgers University-New Brunswick,00262900  ,Rutgers at Mercer County Community College,1200 Old Trenton Road FA 129,West Windsor,NJ,08550,1,"Public, 4-year or above",23354,27283,50637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
186380006,Rutgers University-New Brunswick,00262900  ,Rutgers at County College of Morris,214 Center Grove Road,Randolph,NJ,07869,1,"Public, 4-year or above",23354,27283,50637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
186380007,Rutgers University-New Brunswick,00262900  ,Rutgers at Raritan Valley Community College,Rotue 28 & Lamington Road,North Branch,NJ,08876,1,"Public, 4-year or above",23354,27283,50637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
186380008,Rutgers University-New Brunswick,00262900  ,Rutgers at Brookdale Community College Lincroft Campus,765 Newman Springs Road,Lincroft,NJ,07738,1,"Public, 4-year or above",23354,27283,50637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
186380009,Rutgers University-New Brunswick,00262900  ,Rutgers Agricultural Research and Extension Center,121 Northville Road,Bridgeton,NJ,08302,1,"Public, 4-year or above",23354,27283,50637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
186380010,Rutgers University-New Brunswick,00262900  ,Clifford E. & Melda C. Snyder Research and Extension Farm,140 Locust Grove Road,Pittstown,NJ,08867,1,"Public, 4-year or above",23354,27283,50637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
186380011,Rutgers University-New Brunswick,00262900  ,Lindley G. Cook 4-H Youth Center for Outdoor Education,100 Struble Road,Branchville,NJ,07826,1,"Public, 4-year or above",23354,27283,50637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
186380012,Rutgers University-New Brunswick,00262900  ,Haskin Shellfish Research Laboratory (HSRL),6959 Miller Avenue,Port Norris,NJ,08349,1,"Public, 4-year or above",23354,27283,50637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
186380013,Rutgers University-New Brunswick,00262900  ,Philip E. Marucci Center for Blueberry & Cranberry Research ,125 Lake Oswego,Chatsworth,NJ,08019,1,"Public, 4-year or above",23354,27283,50637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
186380014,Rutgers University-New Brunswick,00262900  ,Rutgers University Pinelands Field Station,501 Four Mile Road,New Lisbon,NJ,08064,1,"Public, 4-year or above",23354,27283,50637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
186380015,Rutgers University-New Brunswick,00262900  ,Rutgers University Marine Field Station (RUMFS),800 Great Bay Boulevard,Tuckerton,NJ,08087,1,"Public, 4-year or above",23354,27283,50637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
186380016,Rutgers University-New Brunswick,00262900  ,Hutcheson Memorial Forest,2150 Amwell Road,Franklin ,NJ,08873,1,"Public, 4-year or above",23354,27283,50637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
186380017,Rutgers University-New Brunswick,00262900  ,Rutgers EcoComplex ,1200 Florence Columbus Road,Bordentown,NJ,08901,1,"Public, 4-year or above",23354,27283,50637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
186380018,Rutgers University-New Brunswick,00262900  ,Rutgers Fruit and Ornamental Research Extension Center,283 Route 539,Cream Ridge,NJ,085149634,1,"Public, 4-year or above",23354,27283,50637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
186380019,Rutgers University-New Brunswick,00262900  ,Rutgers Plant Science Research and Extension Farm in Adelphia,549 Halls Mills Road,Freehold,NJ,07728,1,"Public, 4-year or above",23354,27283,50637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
204796001,Ohio State University-Main Campus,00309000  ,Main Campus,190 N. OVAL MALL,COLUMBUS,OH,43210,1,"Public, 4-year or above",29012,31528,60540,0,0,179,530,0,0,4,9,36,9,2,0,0,128,547,0,1,8,11,44,29,4,0,0,86,53,0,0,11,14,62,26,4,1,1,1
214777001,Pennsylvania State University-Main Campus,00332900  ,University Park Campus Penn State,201 OLD MAIN,UNIVERSITY PARK,PA,168021589,1,"Public, 4-year or above",26390,23638,50028,,,,,,,,,,,,0,0,41,22,0,0,0,5,9,1,2,0,0,43,26,0,0,0,10,11,5,2,0,1,1
214777002,Pennsylvania State University-Main Campus,00332900  ,Dickinson Law,150 South College St,Carlisle,PA,17013,1,"Public, 4-year or above",26390,23638,50028,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1
214777003,Pennsylvania State University-Main Campus,00332900  ,Hershey College of Medicine ,700 HMC Crescent Road,Hershey,PA,17033,1,"Public, 4-year or above",26390,23638,50028,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,0,0,1,0,0,0,0,0,1
236948001,University of Washington-Seattle Campus,00379800  ,Main Campus,NONE,SEATTLE,WA,981954550,1,"Public, 4-year or above",24831,27488,52319,0,0,17,5,1,0,5,5,125,20,0,0,0,14,16,0,0,7,7,62,34,8,0,0,20,17,0,0,2,6,68,128,7,1,1,1
240444001,University of Wisconsin-Madison,00389500  ,Main Campus,500 LINCOLN DR,MADISON,WI,53706,1,"Public, 4-year or above",22993,25963,48956,0,0,9,7,0,0,0,8,27,4,2,0,1,19,3,0,0,1,11,30,16,2,0,0,25,11,0,1,1,10,51,23,1,1,1,1
240444002,University of Wisconsin-Madison,00389500  ,School of Social Work Prorgram at UW-Eau Claire,239 Water Street,Eau Claire,WI,54703,1,"Public, 4-year or above",22993,25963,48956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
243780001,Purdue University-Main Campus,00182500  ,Main Campus,610 Purdue Mall,WEST LAFAYETTE,IN,479071076,1,"Public, 4-year or above",29790,21738,51528,0,0,7,1,0,0,0,3,17,9,5,0,0,29,7,1,0,1,2,4,24,0,1,0,17,4,0,1,1,5,7,48,3,1,1,1
243780002,Purdue University-Main Campus,00182500  ,Anderson Campus,1920 Purdue Parkway,Anderson,IN,46016,1,"Public, 4-year or above",29790,21738,51528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
243780003,Purdue University-Main Campus,00182500  ,Richmond Campus,814 East Main Street,Richmond,IN,47374,1,"Public, 4-year or above",29790,21738,51528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
243780004,Purdue University-Main Campus,00182500  ,New Albany Campus,3000 Technology Ave.,New Albany,IN,47150,1,"Public, 4-year or above",29790,21738,51528,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
243780005,Purdue University-Main Campus,00182500  ,South Bend Campus,"635 South Lafayette Boulevard , Suite 128",South Bend,IN,46601,1,"Public, 4-year or above",29790,21738,51528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
243780006,Purdue University-Main Campus,00182500  ,Vincennes Campus,1002 North First St.,Vincennes,IN,47591,1,"Public, 4-year or above",29790,21738,51528,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,5,0,0,0,0,2,1,0,0,1,0,0,0,0,1,1,1
243780007,Purdue University-Main Campus,00182500  ,Kokomo Campus,700 East Firmin Street,Kokomo,IN,46902,1,"Public, 4-year or above",29790,21738,51528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
243780008,Purdue University-Main Campus,00182500  ,Indianapolis Campus,2175 S. Hoffman Rd.,Indianapolis,IN,462413650,1,"Public, 4-year or above",29790,21738,51528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
243780009,Purdue University-Main Campus,00182500  ,Lafayette Campus,5500 State Road 38 East,Lafayette,IN,47905,1,"Public, 4-year or above",29790,21738,51528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
243780010,Purdue University-Main Campus,00182500  ,Columbus Campus,4444 Kelly St.,Columbus,IN,47203,1,"Public, 4-year or above",29790,21738,51528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
