UNITID_P,INSTNM,OPEID,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,MURD20,NEG_M20,RAPE20,FONDL20,INCES20,STATR20,ROBBE20,AGG_A20,BURGLA20,VEHIC20,ARSON20,MURD21,NEG_M21,RAPE21,FONDL21,INCES21,STATR21,ROBBE21,AGG_A21,BURGLA21,VEHIC21,ARSON21,MURD22,NEG_M22,RAPE22,FONDL22,INCES22,STATR22,ROBBE22,AGG_A22,BURGLA22,VEHIC22,ARSON22,FILTER20,FILTER21,FILTER22
145637001,University of Illinois Urbana-Champaign,00177500  ,Main Campus,601 E John Street,Champaign,IL,61820,1,"Public, 4-year or above",31000,25916,56916,0,0,15,5,0,0,5,2,9,4,5,0,0,10,12,0,0,2,3,4,3,3,0,0,19,14,0,0,2,1,3,37,6,1,1,1
145637003,University of Illinois Urbana-Champaign,00177500  ,Illini Center,200 S. Wacker Dr.,Chicago,IL,60606,1,"Public, 4-year or above",31000,25916,56916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
163286001,University of Maryland-College Park,00210300  ,Main Campus,US Route 1,COLLEGE PARK,MD,20742,1,"Public, 4-year or above",20762,20030,40792,0,0,13,0,0,0,0,0,16,26,0,0,0,20,8,0,0,0,2,11,33,2,0,0,19,10,0,0,1,7,11,53,1,1,1,1
163286002,University of Maryland-College Park,00210300  ,The Universities at Shady Grove,9636 Gudelsky Drive,Rockville,MD,20850,1,"Public, 4-year or above",20762,20030,40792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
163286003,University of Maryland-College Park,00210300  ,The University System of Maryland at Southern Maryland,44219 Airport Rd,California,MD,20619,1,"Public, 4-year or above",20762,20030,40792,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1
170976001,University of Michigan-Ann Arbor,00232500  ,Ann Arbor campus,1109 Geddes Ave,ANN ARBOR,MI,481091079,1,"Public, 4-year or above",24739,26486,51225,0,0,1212,947,0,0,3,5,11,8,1,0,0,199,176,0,0,2,18,5,4,2,0,0,57,65,0,0,2,19,14,10,2,1,1,1
171100001,Michigan State University,00229000  ,Main Campus,"Hannah Administration Bldg., 426 Auditorium Road, Room 450",EAST LANSING,MI,48824,1,"Public, 4-year or above",23541,26482,50023,0,0,13,3,0,1,0,7,19,21,0,0,0,19,4,0,1,3,4,19,31,1,0,0,19,26,0,0,4,5,33,36,5,1,1,1
171100002,Michigan State University,00229000  ,MSU College of Human Medicine -- Grand Rapids,15 Michigan Street NE,Grand Rapids,MI,49503,1,"Public, 4-year or above",23541,26482,50023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
171100003,Michigan State University,00229000  ,MSU Eli Broad Graduate School of Management -- Troy,811 West Square Lake Road,Troy,MI,48098,1,"Public, 4-year or above",23541,26482,50023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
171100005,Michigan State University,00229000  ,College of Osteopathic Medicine - Macomb,44575 Garfield Rd.,Clinton Township,MI,48038,1,"Public, 4-year or above",23541,26482,50023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
